submission_date,percentage
2021-01-06,14.583235207408975
2021-01-13,15.177974646274953
2021-01-20,14.957430647310813
2021-01-27,12.994468768575798
2021-02-03,13.09851144971553
2021-02-10,13.136921288996115
2021-02-17,13.896406880032163
2021-02-24,13.616612291597981
2021-03-03,15.497373882138433
2021-03-10,15.201761075950767
2021-03-17,16.01417751571589
2021-03-24,17.457361643428605
2021-03-31,17.357261438465198
2021-04-07,17.09560180348617
2021-04-14,17.71370675281559
2021-04-21,18.441093297743024
2021-04-28,18.207921288003156
2021-05-05,16.87302896094606
2021-05-12,17.243579523258834
2021-05-19,17.083083996577056
2021-05-26,16.81152239481427
2021-06-02,16.779696111514095
2021-06-09,16.741325673529676
2021-06-16,16.805576998968842
2021-06-23,16.857658424120437
2021-06-30,16.99661416066151
2021-07-07,17.011345696449013
2021-07-14,17.080396862814467
2021-07-21,17.58574503534777
2021-07-28,17.13984305568398
