submission_date,percentage
2021-01-06,31.710641669411217
2021-01-13,32.05319127099403
2021-01-20,31.61956487319369
2021-01-27,32.11519261163224
2021-02-03,32.3851045521918
2021-02-10,33.051024332383726
2021-02-17,33.330579646534396
2021-02-24,31.672818758972426
2021-03-03,32.25638724359503
2021-03-10,31.845034761695416
2021-03-17,32.337754030347156
2021-03-24,33.26341055343885
2021-03-31,32.183161143400234
2021-04-07,31.942214209884057
2021-04-14,33.165978587638534
2021-04-21,32.93024064861811
2021-04-28,32.64236215155831
2021-05-05,33.775161057110374
2021-05-12,33.07062326239573
2021-05-19,32.91016754282348
2021-05-26,32.160581670463
2021-06-02,31.717778356941334
2021-06-09,32.30688228028442
2021-06-16,32.35732241522996
2021-06-23,32.437510481632195
2021-06-30,32.4032620568174
2021-07-07,32.69808694888114
2021-07-14,32.95631288242346
2021-07-21,33.461269282833044
2021-07-28,33.005426339410235
