submission_date,percentage
2021-01-06,3.2209170986341054
2021-01-13,3.1954939064976617
2021-01-20,3.245305116671404
2021-01-27,3.3991442088288464
2021-02-03,3.552458200692657
2021-02-10,3.723221653684022
2021-02-17,3.663600877033436
2021-02-24,3.564787369673045
2021-03-03,3.7819652157667276
2021-03-10,3.7071188201148324
2021-03-17,4.178003501747239
2021-03-24,4.433108956470658
2021-03-31,4.229891311346188
2021-04-07,4.206357411804773
2021-04-14,4.715468934135396
2021-04-21,5.03761411251582
2021-04-28,4.890561090160397
2021-05-05,5.223273624340961
2021-05-12,5.249991222630564
2021-05-19,5.171562240075203
2021-05-26,5.074965876964719
2021-06-02,7.177907730132463
2021-06-09,20.141395496498234
2021-06-16,21.580600939792667
2021-06-23,21.998126358565916
2021-06-30,21.748386766461415
2021-07-07,22.351354953576354
2021-07-14,22.76156206335974
2021-07-21,23.005765971195384
2021-07-28,22.879846433295608
